Films,Year,Year1,Country,Director,latitude,longitude
Born in Flames,1983,1983,,Directed byLizzie Borden,46.3144754,11.0480288
Pandora's Box,1928Germany,1928,Germany,Directed byG.W. Pabst,51.1638175,10.4478313
Sullivan's Travels,1941USA,1941,USA,Directed byPreston Sturges,39.7837304,-100.445882
Annie Hall,1977USA,1977,USA,Directed byWoody Allen,39.7837304,-100.445882
Earth,"1930USSR, Ukrainian SSR",1930,"USSR, Ukrainian SSR",Directed byAlexander Dovzhenko,,
My Darling Clementine,1946USA,1946,USA,Directed byJohn Ford,39.7837304,-100.445882
Mouchette,1966France,1966,France,Directed byRobert Bresson,46.603354,1.8883335
A Clockwork Orange,"1971USA, United Kingdom",1971,"USA, United Kingdom",Directed byStanley Kubrick,52.2153827,0.1258329
A Canterbury Tale,1944United Kingdom,1944,United Kingdom,"Directed byMichael Powell, Emeric Pressburger",54.7023545,-3.2765753
Videodrome,1983Canada,1983,Canada,Directed byDavid Cronenberg,61.0666922,-107.991707
Possession,"1981France, Federal Republic of Germany",1981,"France, Federal Republic of Germany",Directed byAndrzej Zulawski,,
Soleil Ô,1970France,1970,France,Directed byMed Hondo,46.603354,1.8883335
"Distant Voices, Still Lives","1988United Kingdom, Federal Republic of Germany",1988,"United Kingdom, Federal Republic of Germany",Directed byTerence Davies,51.6081847,-0.498172
Nostalgia for the Light,"2010France, Germany, Chile, Spain, USA",2010,"France, Germany, Chile, Spain, USA",Directed byPatricio Guzmán,,
Syndromes and a Century,"2006Thailand, France, Austria, Netherlands",2006,"Thailand, France, Austria, Netherlands",Directed byApichatpong Weerasethakul,,
The Intruder,"2004France, Republic of Korea",2004,"France, Republic of Korea",Directed byClaire Denis,,
Morvern Callar,"2001United Kingdom, Canada",2001,"United Kingdom, Canada",Directed byLynne Ramsay,50.9625195,-1.5884921
In Vanda's Room,"2000Portugal, Germany, Switzerland",2000,"Portugal, Germany, Switzerland",Directed byPedro Costa,,
Werckmeister Harmonies,"2000Hungary, Germany, France, Switzerland, Italy",2000,"Hungary, Germany, France, Switzerland, Italy",Directed byBéla Tarr,,
Taste of Cherry,1997Iran,1997,Iran,Directed byAbbas Kiarostami,32.6475314,54.5643516
The Quince Tree Sun,1992Spain,1992,Spain,Directed byVíctor Erice,39.3260685,-4.8379791
The Last Laugh,1924Germany,1924,Germany,Directed byF.W. Murnau,51.1638175,10.4478313
"Harlan County, USA",1976USA,1976,USA,Directed byBarbara Kopple,39.7837304,-100.445882
Cries and Whispers,1972Sweden,1972,Sweden,Directed byIngmar Bergman,59.6749712,14.5208584
Star Wars,1977USA,1977,USA,Directed byGeorge Lucas,39.7837304,-100.445882
Intolerance,1916USA,1916,USA,Directed byD.W. Griffith,39.7837304,-100.445882
The Hour of the Furnaces,1968Argentina,1968,Argentina,Directed byFernando Solanas,-34.9964963,-64.9672817
Europa '51,1952Italy,1952,Italy,Directed byRoberto Rossellini,42.6384261,12.674297
Napoléon,1927France,1927,France,Directed byAbel Gance,46.603354,1.8883335
The Crowd,1928USA,1928,USA,Directed byKing Vidor,39.7837304,-100.445882
A Touch of Zen,1969Taiwan,1969,Taiwan,Directed byKing Hu,23.5983227,120.83537694479215
"Je, tu, il, elle",1974Belgium,1974,Belgium,Directed byChantal Akerman,50.6402809,4.6667145
Petite maman,2021France,2021,France,Directed byCéline Sciamma,46.603354,1.8883335
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",2000USA,2000,USA,Directed byJonas Mekas,39.7837304,-100.445882
Flowers of Shanghai,"1998Taiwan, Japan",1998,"Taiwan, Japan",Directed byHou Hsiao-Hsien,35.63753835,139.72186297444085
Happy Together,1997Hong Kong,1997,Hong Kong,Directed byWong Kar Wai,22.350627,114.1849161
Crash,1996Canada,1996,Canada,Directed byDavid Cronenberg,61.0666922,-107.991707
Blue,"1993United Kingdom, Japan",1993,"United Kingdom, Japan",Directed byDerek Jarman,51.505284700000004,-0.1461224454291436
Grave of the Fireflies,1988Japan,1988,Japan,Directed byIsao Takahata,36.5748441,139.2394179
The Green Ray,1986France,1986,France,Directed byEric Rohmer,46.603354,1.8883335
By the Bluest of Seas,1935USSR,1935,USSR,Directed byBoris Barnet,46.3421653,48.0254474
Duck Soup,1933USA,1933,USA,Directed byLeo McCarey,39.7837304,-100.445882
All about Eve,1950USA,1950,USA,Directed byJoseph L. Mankiewicz,39.7837304,-100.445882
Brief Encounter,1945United Kingdom,1945,United Kingdom,Directed byDavid Lean,54.7023545,-3.2765753
