Films,Year,Year1,Country,Director
Born in Flames,1983,1983,,Directed byLizzie Borden
Pandora's Box,1928Germany,1928,Germany,Directed byG.W. Pabst
Sullivan's Travels,1941USA,1941,USA,Directed byPreston Sturges
Annie Hall,1977USA,1977,USA,Directed byWoody Allen
Earth,"1930USSR, Ukrainian SSR",1930,"USSR, Ukrainian SSR",Directed byAlexander Dovzhenko
My Darling Clementine,1946USA,1946,USA,Directed byJohn Ford
Mouchette,1966France,1966,France,Directed byRobert Bresson
A Clockwork Orange,"1971USA, United Kingdom",1971,"USA, United Kingdom",Directed byStanley Kubrick
A Canterbury Tale,1944United Kingdom,1944,United Kingdom,"Directed byMichael Powell, Emeric Pressburger"
Videodrome,1983Canada,1983,Canada,Directed byDavid Cronenberg
Possession,"1981France, Federal Republic of Germany",1981,"France, Federal Republic of Germany",Directed byAndrzej Zulawski
Soleil Ô,1970France,1970,France,Directed byMed Hondo
"Distant Voices, Still Lives","1988United Kingdom, Federal Republic of Germany",1988,"United Kingdom, Federal Republic of Germany",Directed byTerence Davies
Nostalgia for the Light,"2010France, Germany, Chile, Spain, USA",2010,"France, Germany, Chile, Spain, USA",Directed byPatricio Guzmán
Syndromes and a Century,"2006Thailand, France, Austria, Netherlands",2006,"Thailand, France, Austria, Netherlands",Directed byApichatpong Weerasethakul
The Intruder,"2004France, Republic of Korea",2004,"France, Republic of Korea",Directed byClaire Denis
Morvern Callar,"2001United Kingdom, Canada",2001,"United Kingdom, Canada",Directed byLynne Ramsay
In Vanda's Room,"2000Portugal, Germany, Switzerland",2000,"Portugal, Germany, Switzerland",Directed byPedro Costa
Werckmeister Harmonies,"2000Hungary, Germany, France, Switzerland, Italy",2000,"Hungary, Germany, France, Switzerland, Italy",Directed byBéla Tarr
Taste of Cherry,1997Iran,1997,Iran,Directed byAbbas Kiarostami
The Quince Tree Sun,1992Spain,1992,Spain,Directed byVíctor Erice
The Last Laugh,1924Germany,1924,Germany,Directed byF.W. Murnau
"Harlan County, USA",1976USA,1976,USA,Directed byBarbara Kopple
Cries and Whispers,1972Sweden,1972,Sweden,Directed byIngmar Bergman
Star Wars,1977USA,1977,USA,Directed byGeorge Lucas
Intolerance,1916USA,1916,USA,Directed byD.W. Griffith
The Hour of the Furnaces,1968Argentina,1968,Argentina,Directed byFernando Solanas
Europa '51,1952Italy,1952,Italy,Directed byRoberto Rossellini
Napoléon,1927France,1927,France,Directed byAbel Gance
The Crowd,1928USA,1928,USA,Directed byKing Vidor
A Touch of Zen,1969Taiwan,1969,Taiwan,Directed byKing Hu
"Je, tu, il, elle",1974Belgium,1974,Belgium,Directed byChantal Akerman
Petite maman,2021France,2021,France,Directed byCéline Sciamma
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",2000USA,2000,USA,Directed byJonas Mekas
Flowers of Shanghai,"1998Taiwan, Japan",1998,"Taiwan, Japan",Directed byHou Hsiao-Hsien
Happy Together,1997Hong Kong,1997,Hong Kong,Directed byWong Kar Wai
Crash,1996Canada,1996,Canada,Directed byDavid Cronenberg
Blue,"1993United Kingdom, Japan",1993,"United Kingdom, Japan",Directed byDerek Jarman
Grave of the Fireflies,1988Japan,1988,Japan,Directed byIsao Takahata
The Green Ray,1986France,1986,France,Directed byEric Rohmer
By the Bluest of Seas,1935USSR,1935,USSR,Directed byBoris Barnet
Duck Soup,1933USA,1933,USA,Directed byLeo McCarey
All about Eve,1950USA,1950,USA,Directed byJoseph L. Mankiewicz
Brief Encounter,1945United Kingdom,1945,United Kingdom,Directed byDavid Lean
Suspiria,1977Italy,1977,Italy,Directed byDario Argento
In a Lonely Place,1950USA,1950,USA,Directed byNicholas Ray
The Deer Hunter,1978USA,1978,USA,Directed byMichael Cimino
Army of Shadows,"1969France, Italy",1969,"France, Italy",Directed byJean-Pierre Melville
Melancholia,"2011Denmark, Sweden, France, Germany, Italy",2011,"Denmark, Sweden, France, Germany, Italy",Directed byLars von Trier
Twenty Years Later,1984Brazil,1984,Brazil,Directed byEduardo Coutinho
Twin Peaks: Fire Walk with Me,1992USA,1992,USA,Directed byDavid Lynch
Pink Flamingos,1972USA,1972,USA,Directed byJohn Waters
Raiders of the Lost Ark,1981USA,1981,USA,Directed bySteven Spielberg
Limite,1931Brazil,1931,Brazil,Directed byMário Peixoto
The Life and Death of Colonel Blimp,1943United Kingdom,1943,United Kingdom,"Directed byMichael Powell, Emeric Pressburger"
Wavelength,1967Canada,1967,Canada,Directed byMichael Snow
I Know Where I’m Going!,1945United Kingdom,1945,United Kingdom,"Directed byMichael Powell, Emeric Pressburger"
L' eclisse,"1962Italy, France",1962,"Italy, France",Directed byMichelangelo Antonioni
Double Indemnity,1944USA,1944,USA,Directed byBilly Wilder
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"1963United Kingdom, USA",1963,"United Kingdom, USA",Directed byStanley Kubrick
One Way or Another,1977Cuba,1977,Cuba,Directed bySara Gómez
Nosferatu,1922Germany,1922,Germany,Directed byF.W. Murnau
Paisan,1946Italy,1946,Italy,Directed byRoberto Rossellini
Zama,"2017Argentina, Brazil, Spain, France, Mexico, Netherlands, Monaco, Portugal, USA, Lebanon, United Kingdom, Dominican Republic",2017,"Argentina, Brazil, Spain, France, Mexico, Netherlands, Monaco, Portugal, USA, Lebanon, United Kingdom, Dominican Republic",Directed byLucrecia Martel
Mad Max: Fury Road,"2015USA, Australia",2015,"USA, Australia",Directed byGeorge Miller
The Tree of Life,2010USA,2010,USA,Directed byTerrence Malick
Uncle Boonmee Who Can Recall His Past Lives,"2010Thailand, United Kingdom, France, Germany, Spain, Netherlands",2010,"Thailand, United Kingdom, France, Germany, Spain, Netherlands",Directed byApichatpong Weerasethakul
The Headless Woman,"2008Argentina, Spain, France, Italy",2008,"Argentina, Spain, France, Italy",Directed byLucrecia Martel
Paris Is Burning,"1990USA, United Kingdom",1990,"USA, United Kingdom",Directed byJennie Livingston
"Paris, Texas","1984Federal Republic of Germany, France, United Kingdom",1984,"Federal Republic of Germany, France, United Kingdom",Directed byWim Wenders
Les Demoiselles de Rochefort,1967France,1967,France,Directed byJacques Demy
The Birds,1963USA,1963,USA,Directed byAlfred Hitchcock
The River,1951USA,1951,USA,Directed byJean Renoir
An Autumn Afternoon,1962Japan,1962,Japan,Directed byYasujirō Ozu
Love Streams,1984USA,1984,USA,Directed byJohn Cassavetes
Greed,1923USA,1923,USA,Directed byErich von Stroheim
Ran,"1985France, Japan",1985,"France, Japan",Directed byAkira Kurosawa
Pyaasa,1957India,1957,India,Directed byGuru Dutt
Wings of Desire,"1987Federal Republic of Germany, France",1987,"Federal Republic of Germany, France",Directed byWim Wenders
Magnolia,1999USA,1999,USA,Directed byPaul Thomas Anderson
The Magnificent Ambersons,1942USA,1942,USA,Directed byOrson Welles
Hiroshima mon amour,"1959France, Japan",1959,"France, Japan",Directed byAlain Resnais
Letter from an Unknown Woman,1948USA,1948,USA,Directed byMax Ophuls
Charulata,1964India,1964,India,Directed bySatyajit Ray
"The Good, the Bad and the Ugly",1966Italy,1966,Italy,Directed bySergio Leone
Red Desert,"1964Italy, France",1964,"Italy, France",Directed byMichelangelo Antonioni
Black Narcissus,1947United Kingdom,1947,United Kingdom,"Directed byMichael Powell, Emeric Pressburger"
Memories of Underdevelopment,1968Cuba,1968,Cuba,Directed byTomás Gutiérrez Alea
The Exterminating Angel,1962Mexico,1962,Mexico,Directed byLuis Buñuel
Under the Skin,"2013United Kingdom, USA, Switzerland",2013,"United Kingdom, USA, Switzerland",Directed byJonathan Glazer
Heat,1995USA,1995,USA,Directed byMichael Mann
Symbiopsychotaxiplasm: Take One,1967USA,1967,USA,Directed byWilliam Greaves
Out 1,1990France,1990,France,Directed byJacques Rivette
Un chien andalou,1928France,1928,France,Directed byLuis Buñuel
L'Argent,"1983France, Switzerland",1983,"France, Switzerland",Directed byRobert Bresson
Last Year at Marienbad,"1961France, Italy",1961,"France, Italy",Directed byAlain Resnais
Los olvidados,1950Mexico,1950,Mexico,Directed byLuis Buñuel
Ikiru,1952Japan,1952,Japan,Directed byAkira Kurosawa
Out of the Past,1947USA,1947,USA,Directed byJacques Tourneur
Vivre sa vie,1962France,1962,France,Directed byJean-Luc Godard
Amarcord,"1972Italy, France",1972,"Italy, France",Directed byFederico Fellini
Once upon a Time in America,"1983USA, Italy",1983,"USA, Italy",Directed bySergio Leone
The Gospel According to St. Matthew,"1964Italy, France",1964,"Italy, France",Directed byPier Paolo Pasolini
Where Is the Friend's House?,1987Iran,1987,Iran,Directed byAbbas Kiarostami
All about My Mother,"1999Spain, France",1999,"Spain, France",Directed byPedro Almodóvar
A City of Sadness,1989Taiwan,1989,Taiwan,Directed byHou Hsiao-Hsien
Orlando,"1992United Kingdom, Russian Federation, Italy, France, Netherlands",1992,"United Kingdom, Russian Federation, Italy, France, Netherlands",Directed bySally Potter
West of the Tracks,2002People's Republic of China,2002,People's Republic of China,Directed byWang Bing
Le Bonheur,1965France,1965,France,Directed byAgnès Varda
Meghe Dhaka Tara,1960India,1960,India,Directed byRitwik Ghatak
Days of Heaven,1978USA,1978,USA,Directed byTerrence Malick
West Indies: The Fugitive Slaves of Liberty,"1979France, Mauritania",1979,"France, Mauritania",Directed byMed Hondo
Twin Peaks: The Return,2017USA,2017,USA,Directed byDavid Lynch
Chinatown,1974USA,1974,USA,Directed byRoman Polanski
La Grande Illusion,1937France,1937,France,Directed byJean Renoir
India Song,1975France,1975,France,Directed byMarguerite Duras
Alien,"1979USA, United Kingdom",1979,"USA, United Kingdom",Directed byRidley Scott
Vampyr,"1932Germany, France",1932,"Germany, France",Directed byCarl Th. Dreyer
The Watermelon Woman,1997USA,1997,USA,Directed byCheryl Dunye
Gertrud,1964Denmark,1964,Denmark,Directed byCarl Th. Dreyer
All That Heaven Allows,1955USA,1955,USA,Directed byDouglas Sirk
Partie de campagne,1936France,1936,France,Directed byJean Renoir
Pickpocket,1959France,1959,France,Directed byRobert Bresson
The Seventh Seal,1957Sweden,1957,Sweden,Directed byIngmar Bergman
Trouble in Paradise,1932USA,1932,USA,Directed byErnst Lubitsch
Sambizanga,"1972Angola, France, Congo",1972,"Angola, France, Congo",Directed bySarah Maldoror
The Wild Bunch,1969USA,1969,USA,Directed bySam Peckinpah
Les Enfants du paradis,1945France,1945,France,Directed byMarcel Carné
La ciénaga,"2001Argentina, USA, Japan, France, Switzerland, Spain, Brazil",2001,"Argentina, USA, Japan, France, Switzerland, Spain, Brazil",Directed byLucrecia Martel
It's a Wonderful Life,1947USA,1947,USA,Directed byFrank Capra
Notorious,1946USA,1946,USA,Directed byAlfred Hitchcock
Lawrence of Arabia,1962United Kingdom,1962,United Kingdom,Directed byDavid Lean
Pulp Fiction,1994USA,1994,USA,Directed byQuentin Tarantino
Raging Bull,1980USA,1980,USA,Directed byMartin Scorsese
His Girl Friday,1939USA,1939,USA,Directed byHoward Hawks
Fanny and Alexander,"1982Sweden, France, Federal Republic of Germany",1982,"Sweden, France, Federal Republic of Germany",Directed byIngmar Bergman
The Ascent,1976USSR,1976,USSR,Directed byLarissa Shepitko
Only Angels Have Wings,1939USA,1939,USA,Directed byHoward Hawks
The Umbrellas of Cherbourg,"1964France, Federal Republic of Germany",1964,"France, Federal Republic of Germany",Directed byJacques Demy
Johnny Guitar,1954USA,1954,USA,Directed byNicholas Ray
The Colour of Pomegranates,"1968USSR, Armenian SSR",1968,"USSR, Armenian SSR",Directed bySergei Paradjanov
The Matrix,"1999USA, Australia",1999,"USA, Australia",Directed byThe Wachowskis
There Will Be Blood,2007USA,2007,USA,Directed byPaul Thomas Anderson
The Thing,1982USA,1982,USA,Directed byJohn Carpenter
The Texas Chain Saw Massacre,1974USA,1974,USA,Directed byTobe Hooper
The Conformist,"1970Italy, France, Federal Republic of Germany",1970,"Italy, France, Federal Republic of Germany",Directed byBernardo Bertolucci
"Aguirre, Wrath of God",1972Federal Republic of Germany,1972,Federal Republic of Germany,Directed byWerner Herzog
Don't Look Now,"1973United Kingdom, Italy",1973,"United Kingdom, Italy",Directed byNicolas Roeg
Nashville,1975USA,1975,USA,Directed byRobert Altman
A Woman under the Influence,1974USA,1974,USA,Directed byJohn Cassavetes
To Be or Not to Be,1942USA,1942,USA,Directed byErnst Lubitsch
Bringing Up Baby,1938USA,1938,USA,Directed byHoward Hawks
The Man Who Shot Liberty Valance,1962USA,1962,USA,Directed byJohn Ford
